,sentence,label
0,What does QA consulting mean?,qa
1,What niches do you specialize in?,about
2,Do you have android engineers?,mobile
3,Who are the founders of your company?,about
4,Are there cros platform mobile developers in your team?,mobile
5,Can you create Android apps with Java?,mobile
6,Do you have application testers?,qa
7,Can you create an application like Facebook?,about
8,Can you develop native iOS app?,mobile
9,Can you guarantee that my application will scale well?,devops
10,How do I know if I can trust your QA processes?,qa
11,What kind of organizations have you worked for?,about
12,Are you experienced in cross platform technologies?,mobile
13,Are there Swift developers in your team?,mobile
14,Can you develop mobile apps?,mobile
15,Where are your offices located?,about
16,Can your DevOps fix issues in my environment?,devops
17,Is it required for me to hire QA team as well?,qa
18,Do you do QA?,qa
19,Are your QA specialists good at testing?,qa
20,Have you created enterprise software?,about
21,Will the prdoctivity rise if we have DevOps?,devops
22,What parts of application lifecyrcle does your devops team cover?,devops
23,What kind of companies do your clients have?,about
24,Has your company created applications before?,about
25,What hybrid technology do you know?,mobile
26,Does your company have DevOps department?,devops
27,Can DevOps team help our project in terms of productivity?,devops
28,Will you help me to correct my QA practices?,qa
29,Do you have CI/CD specialists?,devops
30,What kind of automation do you do?,qa
31,Can you develop native android application?,mobile
32,Is Flutter your only option for cross-platform app development?,mobile
33,Can you create a chating application?,about
34,Is your QA team experienced in automation testing of websites?,qa
35,Qhy should I pay for quality assurance?,qa
36,What do your QA Automation services cover?,qa
37,Do you build apps for both iOS and Android?,mobile
38,Do you have a big portfolio?,about
39,Will DevOps help improve our productivity?,devops
40,Who founded your company?,about
41,Who this office was founded by?,about
42,What programming language will you use for Android apps?,mobile
43,What languages do you use to build Android apps?,mobile
44,Do you have experience in healthcare software?,about
45,Is DevOps any good?,devops
46,Do you have hybrid mobile app developrs?,mobile
47,Will your automation specialists cover website testing?,qa
48,Have you created apps for smartphones?,mobile
49,Are your quality assurance specialists good?,qa
50,Will you guide me through QA strategy best practices?,qa
51,Do you provide DevOps automation?,devops
52,Do you have React Native team?,mobile
53,Do you have experience in Appium?,qa
54,Can you create a hybrid app?,mobile
55,Have you created trading applications?,about
56,How QA flows are managed in your company?,qa
57,Do you have offices in Europe?,about
58,Are you specialised in enterprise solutions?,about
59,Does your company have office in Armenia?,about
60,Do you have a branch in Ukraine?,about
61,What technologies do you use for cross-platform app development?,mobile
62,What kind of projects have you done?,about
63,Can your DevOps team publish our app?,devops
64,Are you specialized in mobile apps?,mobile
65,What technology do you use for iOS development?,mobile
66,Have you developed applications for commodity traders?,about
67,Can you create a trading platform?,about
68,Do you have a good QA team?,qa
69,Why should I spend money on QA team?,qa
70,Who started this company?,about
71,Do your automation services cover mobile app testing?,qa
72,Is your QA team good?,qa
73,Have your team worked with Selenium?,qa
