sentence	label
Can we hire DevOps specialists?	3
What’s one good feature of Flutter?	2
What services do you have?	0
Why should I choose Flutter?	2
What qa consulting is?	1
Can you provide assitence on good QA workflows?	1
Why should I pay for app testers?	1
How many apps have you developed?	0
Do you have CI/CD specialists?	3
What is the best cross platform framework?	2
Can your DevOps team deploy our product?	3
Can I buy devops solutions?	3
Do you build native mobile applications?	2
Have you created apps for smartphones?	2
Does your company have automation qa team?	1
Do you have developers for all mobile platforms?	2
	3
Can your Devops team configure CI?	3
Do your solutions meet security standards?	3
Can you develop a social network app?	0
Does your QA team do manual testing?	1
Can you help me with QA workflows?	1
What is your prefferd hybrid technology?	2
Do you have team of automation testers?	1
Do you have experienve in API automation testing?	1
Can your DevOps team configure firewall?	3
Are there a lot of projects you worked on?	0
When was your organization founded? 	0
Can DevOps team help our project in terms of productivity?	3
Are ther native mobile platform developers in you team?	2
Have you created trading applications?	0
What languages do you use to develop iOS apps?	2
Can you develop native iOS app?	2
Can you develop mobile app with xamarin?	2
Can you create apps with react native?	2
Do you do cross-platform app development? 	2
Do you have experience in iOS apps?	2
How can I trust that you create high quality apps?	1
Will you use swift programming language for iOS ?	2
What can you do for me?	0
What spheres are your clients from?	0
Will your automation specialists cover website testing?	1
Who started this company?	0
Are your QA specialists good at testing?	1
Are there healthcare solutions in your portfolio?	0
Do you have API automation secialists?	1
How will your DevOps services help me?	3
What do your DevOps services cover?	3
Can your DevOps solve problems in our environment?	3
Whah is the process of testing products?	1
Will your Devops help deliver software?	3
Can you develop mobile apps?	2
Was this company founded by Armenians?	0
Are you experienced in cross platform technologies?	2
Can you build a Xamarin app?	2
Will you use kotlin programming language for Android ?	2
Where are your offices located?	0
Do you provide QA consulting services?	1
Can you help me with good QA strategy?	1
Are you specialized in mobile apps?	2
What do you offer?	0
Why should I pay for testing the software?	1
Can you develop a tablet application?	2
Are there iOS developers in you team?	2
Are there QA automation experts in your company?	1
Do you have hybrid mobile app developrs?	2
Do you have React Native team?	2
is it more cost efficent to create apps with flutter?	2
How does QA consulting help me?	1
What can your DevOps do?	3
Do your devops specialists do continuous delivey?	3
Isn't it a waist of money to hire a QA team?	1
Is flutter development fast?	2
Are all your offices located in Armenia?	0
Can you help me identify the right QA strategy?	1
Do you have automation QA specialists?	1
Will you be able to develop trading platform application?	0
What services does your company provide?	0
Are there cros platform mobile developers in your team?	2
What kind of projects require to QAs in the team?	1
Do you pay attention on company culture?	0
Will DevOps help improve our productivity?	3
Is it worth the money to hire qa specialists?	1
Will you develop an iOS application?	2
Is it necessary to have testers in my team?	1
Is the expences of qa specialists woth it?	1
Are there Kotlin developers in your team?	2
Do you have Objective-C developers?	2
Do you have app quality testers team?	1
Do you have experience in continuous integration?	3
What do you do?	0
Do you have Xamarin developers?	2
Have you worked on many projects?	0
What industries do you have experience in?	0
Can your DevOps team publish our app?	3
Do you use Kotlin for Android?	2
Is you testers team work manual?	1
Does your company pay attenrion on quality?	1
Do you have experience in Appium?	1
Can your DevOps team make our solutions more secure?	3
What services do you provide to your clients?	0
Are the founders of VOLO Armenians?	0
Can you create a chating application?	0
How QA flows are managed in your company?	1
Have you developed applications before?	0
Can your DevOps fix issues in my environment?	3
Is there a VOLO branch in Europe?	0
How do you test the apps?	1
Will you cover our DevOps needs?	3
How can I know if I need QA?	1
Do you have branches in US?	0
Is there a specific industry you focus on?	0
Is there a QA team in your company?	1
Has VOLO created many apps?	0
Do you have other cross platfomr frameworks than flutter?	2
What is the cheepest way to develop mobile app?	2
What kind of organizations have you worked for?	0
Do you use Swift for iOS?	2
Why should I choose Flutter?	2
What are your QA consulting services about? 	1
Do you have experience in QA automation?	1
Can you create Android apps with Java?	2
Can you create a cross platform app?	2
Do you have big offices?	0
Do you have experience in fintech?	0
What do you mean by kitchens?	0
Will our productivity win if we hire devops specialists?	3
Will you help me to correct my QA practices?	1
Does your company have DevOps team?	3
Are there any mobile automation QAs in your team?	1
Do you provide DevOps?	3
Will you help me with QA strategy?	1
Can you create an application for hospitals?	0
Are your DevOps specialists proficient with CI/CD tools?	3
Do you have experience in Android apps?	2
What language will you create iOS projects with?	2
What language do you prefer for Android?	2
Who this office was founded by?	0
What’s the testing process like?	1
Does your company offer DevOps services?	3
Why you preffer flutter?	2
Is it possible to create app with cross platform technologies?	2
What people started this company?	0
Are there quality assurance specialists in your company?	1
Are there any Java developers in your team?	2
Can your DevOps make our system more secure?	3
Do you have offices in Europe?	0
What parts of application lifecyrcle does your devops team cover?	3
Are you developing with security in mind?	3
What cross platform frameworks are you familiar with?	2
Can you create payment systems?	0
What is the most cost efficient technology for mobiel app development?	2
Do you have android engineers?	2
How many people work in single office?	0
Do you have mobile development team?	2
Do you have Android developers?	2
Are you familiar with any hybrid technology?	2
Are you familiar with fintech?	0
How can I check if I need quality assurance team?	1
What technology do you use for Android development?	2
What sphere do you work?	0
Do your devops specialists protect against hacker attacks?	3
Who created VOLO?	0
How old is your company?	0
Can you help me with CI/CD?	3
Can you create an app with react native?	2
Can you create a medical app for me?	0
Is DevOps any good?	3
Will you ensure a seamless project deployment process?	3
Can you create a custom QA flow for me?	1
Qhy should I pay for quality assurance?	1
Are you familiar with CI/CD workflows?	3
Can you help me to create a social network?	0
Do your automation services cover mobile app testing?	1
What company is this?	0
Can you automate the app testing?	1
Will DevOps help me fix issues?	3
Will you ensure that our solution will work good in case of big load? 	3
Can you create mobile applications?	2
Do you build mobile apps?	2
Can you provide me software quality testers?	1
Can DevOps team make our solution more productive?	3
How do I know if I can trust your QA processes?	1
Is there a DevOps team in your company?	3
Is your QA team good?	1
Do you have QA specialists?	1
Have you worked on medical projects?	0
How many projects have you completed?	0
Do you have manual quality assurance specialists?	1
What industries are your clients from?	0
