,sentence,label
0,Do you provide QA consulting services?,qa
1,Do you have Xamarin team?,mobile
2,Are you an IT company?,about
3,Is it possible to create app with cross platform technologies?,mobile
4,Do you have experience in Appium?,qa
5,Can your DevOps fix issues in my environment?,devops
6,And what about company culture?,about
7,Who this office was founded by?,about
8,Why you preffer flutter?,mobile
9,Will your Devops team make our environment faster?,devops
10,Is the expences of qa specialists woth it?,qa
11,Have you worked on medical projects?,about
12,Does DevOps boost security?,devops
13,Will you help me to correct my QA practices?,qa
14,Can I trust quality controll of your company?,qa
15,What is the QA process like in your company?,qa
16,Will the prdoctivity rise if we have DevOps?,devops
17,Who created this company?,about
18,Do you deliver DevOps solutions?,devops
19,What technology do you use for Android development?,mobile
20,Do you have moile app specialists?,mobile
21,What QA flows do you offer?,qa
22,Is there a QA team in your company?,qa
23,What’s your company culture like?,about
24,Does your company have DevOps department?,devops
25,Can devops impact the productivity?,devops
26,Do you provide DevOps?,devops
27,Why should I choose Flutter?,mobile
28,Who created VOLO?,about
29,Are you familiar with continuous integration?,devops
30,Who started this company?,about
31,Can you create a healthcare platform?,about
32,Can I trust your QA team?,qa
33,Why should I pay for QA?,qa
34,Is there a VOLO branch in Europe?,about
35,Does VOLO have office in United States?,about
36,Do you have manual quality assurance specialists?,qa
37,Is flutter development fast?,mobile
38,Are there devops specialists in your team?,devops
39,Can you automate devops related tasks?,devops
40,Can you create a cross platform app?,mobile
41,What is the best cross platform framework?,mobile
42,Do you have Java developers?,mobile
43,Why is Flutter the right choice for cross-platform app development?,mobile
44,Do you have experience in mobile app development?,mobile
45,Are you working long in this industry?,about
46,Do you have experience in healthcare software?,about
47,Are you familiar with fintech?,about
48,What mobile platforms do you create apps for?,mobile
49,Is your company experienced in DevOps?,devops
50,Are you specialized in mobile apps?,mobile
51,Do you use Swift for iOS?,mobile
52,Do you have hybrid mobile app developrs?,mobile
53,Do you have app quality testers team?,qa
54,What is QA consultiong?,qa
55,Will your automation specialists cover website testing?,qa
56,Can you guarantee that my application will scale well?,devops
57,What programming language will you use for Android apps?,mobile
58,is it more cost efficent to create apps with flutter?,mobile
59,Flutter? what is this?,mobile
60,Is it required for me to hire QA team as well?,qa
61,Do you prvide end to end devops solutions?,devops
62,How do you test the apps?,qa
63,Will you integrate continuous delivery mechanisms?,devops
64,Do you have experience in iOS apps?,mobile
65,How you organize QA flows?,qa
